"RentTotal" "SqftLease" "Renovation" "Leaselength" "Age" "DistCity" "DistAirport" "DriveAirp" "Location" "Occupancy" "FloorBldg" "SqftFloor" "Elevator" "Restaurant" "Wiring" "Exercise" "DistHosp" "FirmType" "FloorLease" "Renewable" "Parking"
136928 6541.61 4 9 4 3.91 11.46 15.61 "SUBNEW" 0.61 13 30901.32 5 "NO" "NO" "NO" 1.48 "BUS." 9 "NO" 0
1822974 74839.46 3 9 61 1.06 13.72 22.65 "CITY" 0.81 9 43263.45 3 "YES" "NO" "YES" 0.63 "BUS." 3 "NO" 2
336552 15014.01 6 9 6 4.27 18.48 41.49 "SUBOLD" 0.55 3 5004.67 6 "NO" "NO" "NO" 0.96 "LEGAL" 1 "YES" 3
485594 17276.13 54 4 70 1.49 15.71 31.92 "CITY" 0.85 21 24283.51 4 "NO" "NO" "NO" 0.57 "BUS." 12 "NO" 0
2470879 81356.5 26 7 26 0.49 14.09 24.47 "CITY" 0.79 50 39014.02 7 "NO" "NO" "NO" 0.43 "BUS." 20 "NO" 6
499222 19829.16 27 3 27 2.79 12.34 17.14 "SUBNEW" 0.92 25 32549.27 6 "YES" "NO" "NO" 1.54 "LEGAL" 6 "NO" 3
133963 5409.19 14 8 60 0.63 14.86 27.4 "CITY" 0.84 22 17903.25 6 "NO" "NO" "NO" 0.96 "BUS." 19 "NO" 0
747751 33390.64 3 8 3 2.81 11.61 16.07 "SUBNEW" 0.94 9 10909.45 5 "YES" "NO" "YES" 0.3 "BUS." 5 "NO" 0
966074 41002.53 0 3 11 2.61 12.47 17.55 "SUBNEW" 0.95 22 44731.86 7 "NO" "YES" "NO" 1.48 "BUS." 13 "NO" 0
163570 7463.14 10 7 10 2.85 17.24 36.83 "SUBOLD" 0.99 13 46291.17 6 "YES" "YES" "YES" 1.8 "DOCTOR" 12 "NO" 0
319423 16223.42 15 9 15 5.93 19.59 46.15 "SUBOLD" 0.97 9 30898.52 3 "NO" "NO" "NO" 1.94 "LEGAL" 8 "NO" 1
697627 30630.68 5 3 18 4.68 10.62 15.53 "SUBNEW" 0.99 4 23171.16 7 "NO" "YES" "NO" 0.82 "BUS." 3 "NO" 0
77689 3636.44 10 4 10 5.15 18.34 41.47 "SUBOLD" 0.59 15 14087.72 5 "NO" "NO" "NO" 1.53 "DOCTOR" 3 "YES" 0
434393 19674.59 0 3 0 2.12 16.06 31.8 "SUBOLD" 0.55 10 17558.24 8 "NO" "NO" "NO" 1.7 "BUS." 4 "NO" 0
102145 5437.67 28 7 28 1.53 15.7 30.51 "SUBOLD" 0.58 14 52142.03 4 "NO" "NO" "NO" 1.11 "LEGAL" 14 "NO" 0
1423261 62947.25 26 5 26 5.19 10.58 18.16 "SUBNEW" 0.99 16 55588.79 6 "NO" "NO" "NO" 0.2 "BUS." 15 "NO" 0
2210752 71437.03 46 4 46 1.35 14.44 25.33 "CITY" 0.73 24 35680.16 5 "YES" "NO" "NO" 1.37 "LEGAL" 11 "NO" 9
19320 1039.79 14 8 14 3.83 17.77 38.64 "SUBOLD" 0.56 14 39682.6 8 "YES" "NO" "YES" 0.19 "LEGAL" 2 "NO" 0
4190349 154633.87 9 8 24 3.09 11.36 14.64 "SUBNEW" 0.87 24 53143.22 7 "YES" "NO" "YES" 0.53 "BUS." 22 "NO" 14
307284 13470.3 4 8 65 0.35 14.12 25.21 "CITY" 0.92 28 32530.56 6 "NO" "NO" "NO" 0.51 "GOVT" 24 "YES" 0
742663 33666.85 1 8 1 4.15 13.19 23.68 "SUBNEW" 0.88 22 60089.71 5 "YES" "YES" "YES" 1.3 "BUS." 1 "NO" 0
126379 5380.25 6 6 20 5.88 18.97 44.18 "SUBOLD" 0.99 6 15281.63 5 "NO" "NO" "NO" 2.15 "OTHER" 5 "NO" 0
158083 7041.86 4 7 4 5.23 11.07 19.98 "SUBNEW" 0.69 13 29808.53 5 "NO" "YES" "NO" 0.68 "OTHER" 5 "NO" 0
201641 10788.88 34 8 49 3.14 17.46 37.56 "SUBOLD" 0.83 10 21421 4 "NO" "NO" "NO" 1.38 "BUS." 6 "NO" 0
298778 14979.21 16 8 46 2.07 15.34 28.94 "SUBOLD" 0.93 10 39053.51 5 "YES" "NO" "NO" 1.9 "LEGAL" 9 "NO" 0
769849 30369.54 12 4 89 0.44 14.13 24.66 "CITY" 0.98 4 12875.31 2 "NO" "NO" "NO" 0.45 "LEGAL" 1 "NO" 2
162788 6909.74 7 5 35 2.48 16.24 32.52 "SUBOLD" 0.81 12 30625.41 4 "NO" "NO" "NO" 1.67 "GOVT" 11 "NO" 0
352517 15522.98 10 3 10 2.08 15.17 28.29 "SUBOLD" 0.98 14 23897.91 5 "NO" "NO" "NO" 1.72 "BUS." 12 "NO" 0
224007 8269.47 18 3 72 0.15 14.29 25.67 "CITY" 0.85 13 19221.14 4 "YES" "NO" "NO" 0.59 "GOVT" 12 "NO" 1
108725 5762.97 37 8 37 3.05 17.42 37.51 "SUBOLD" 0.7 12 27584.08 3 "NO" "NO" "NO" 1.67 "OTHER" 7 "NO" 1
1119389 49468.13 62 9 62 1.5 12.93 20.35 "CITY" 0.82 24 36914.92 6 "NO" "NO" "NO" 0.8 "GOVT" 18 "NO" 2
471471 25641.69 26 5 40 2.12 16.15 32.18 "SUBOLD" 0.62 9 24185.24 3 "NO" "NO" "NO" 1.63 "BUS." 1 "NO" 0
47138 1996.22 9 6 9 6.43 20.36 49.08 "SUBOLD" 1 12 27652.87 5 "YES" "YES" "NO" 2.5 "DOCTOR" 1 "NO" 0
848346 37789.66 3 4 19 4.91 10.69 17.09 "SUBNEW" 0.98 19 41862.81 7 "NO" "NO" "NO" 0.48 "BUS." 13 "NO" 0
81812 4372.28 17 3 42 2.74 16.64 34.11 "SUBOLD" 0.5 10 32621.51 4 "NO" "NO" "NO" 1.3 "LEGAL" 7 "NO" 0
729910 34487.01 26 7 26 4.71 11.69 19.95 "SUBNEW" 0.93 7 25495.28 3 "NO" "NO" "NO" 1.25 "LEGAL" 4 "NO" 0
47181 2204.56 0 3 0 5.33 10.57 18.86 "SUBNEW" 0.73 23 63133.14 9 "NO" "NO" "NO" 0.13 "BUS." 16 "NO" 0
44816 1961.11 17 8 51 1.32 15.21 28.49 "CITY" 0.97 13 17952.39 4 "NO" "NO" "NO" 1.36 "GOVT" 2 "YES" 0
793530 39521.7 21 8 48 3.89 17.86 39.01 "SUBOLD" 0.67 5 16140.96 2 "NO" "NO" "NO" 0.21 "LEGAL" 3 "NO" 4
556989 23618.69 7 10 47 0.53 13.93 24.01 "CITY" 0.99 23 21577.45 6 "NO" "YES" "NO" 0.2 "GOVT" 17 "NO" 2
57486 2854.44 30 8 30 1.98 16.39 33.96 "SUBOLD" 0.63 10 20970.29 6 "NO" "YES" "NO" 0.86 "DOCTOR" 2 "NO" 0
103479 4357.81 2 3 17 4.56 10.62 14.83 "SUBNEW" 0.91 21 53996.79 7 "NO" "YES" "NO" 0.99 "BUS." 16 "NO" 0
103252 5297.97 0 3 26 4.86 18.13 40.5 "SUBOLD" 0.58 4 21515.96 2 "YES" "NO" "YES" 1.3 "DOCTOR" 1 "NO" 0
559213 28583.71 0 7 11 2.17 16.59 34.64 "SUBOLD" 0.72 10 52139.13 6 "YES" "NO" "YES" 1.06 "GOVT" 6 "NO" 0
1700606 72429.34 21 3 46 3.76 17.67 38.25 "SUBOLD" 0.93 22 35464.43 5 "NO" "NO" "NO" 0.24 "BUS." 3 "NO" 7
149999 7712.02 7 10 25 1.85 15.34 28.91 "SUBOLD" 0.94 14 29954.91 10 "NO" "NO" "NO" 1.9 "GOVT" 10 "NO" 0
839532 39889.15 3 9 27 5.41 10.6 19.37 "SUBNEW" 0.78 15 49866.95 4 "YES" "NO" "YES" 0.22 "BUS." 1 "NO" 0
442672 21393.45 2 8 14 1.81 16.23 33.05 "SUBOLD" 0.82 19 40079.54 6 "NO" "NO" "NO" 0.76 "LEGAL" 19 "NO" 3
155440 7953.21 6 10 6 2.47 13.14 20.4 "SUBNEW" 0.89 23 50917.47 6 "YES" "NO" "NO" 1.48 "DOCTOR" 6 "NO" 0
67258 3106.69 1 6 1 1.79 15.83 30.94 "SUBOLD" 0.81 12 40693.86 4 "YES" "NO" "YES" 1.4 "BUS." 9 "NO" 1
93964 4549.08 11 4 11 2.26 12.92 19.29 "SUBNEW" 0.83 6 15975.54 4 "YES" "NO" "YES" 1.67 "BUS." 1 "NO" 0
1310015 57014.58 15 5 26 1.55 15.66 30.3 "SUBOLD" 0.56 15 34344.47 9 "YES" "NO" "NO" 1.2 "LEGAL" 13 "NO" 6
581440 26818.46 24 3 24 2.47 11.97 16.58 "SUBNEW" 1 16 28265.06 5 "NO" "NO" "NO" 0.13 "BUS." 15 "NO" 1
971248 38754.21 19 3 19 5.67 10.74 20.96 "SUBNEW" 1 19 47784.64 4 "YES" "NO" "YES" 0.62 "BUS." 1 "NO" 0
546190 26848.59 28 10 47 1.32 13.3 21.06 "CITY" 0.96 28 24113.69 7 "NO" "NO" "NO" 0.7 "LEGAL" 13 "NO" 0
1129521 42654.48 0 3 0 2.3 13.39 21.32 "SUBNEW" 0.97 15 32611.92 8 "NO" "YES" "NO" 1.38 "GOVT" 9 "NO" 0
329114 13408.43 16 6 16 1.47 13.06 22.07 "CITY" 0.89 63 25653.03 12 "YES" "NO" "NO" 0.96 "DOCTOR" 37 "NO" 0
577585 20659.05 18 5 47 1.26 13.16 21.39 "CITY" 0.98 12 10713.63 6 "NO" "NO" "NO" 0.59 "BUS." 3 "NO" 5
40315 1465.24 11 3 45 0.69 14.84 28.39 "CITY" 0.98 9 28590.6 3 "YES" "NO" "YES" 0.78 "DOCTOR" 3 "NO" 0
773054 38045.36 19 7 19 3 11.47 14.51 "SUBNEW" 0.95 9 30524.79 4 "NO" "NO" "NO" 0.48 "BUS." 8 "NO" 0
1226270 55495.84 11 9 11 2.06 16.23 32.56 "SUBOLD" 0.67 10 21033.46 5 "NO" "NO" "NO" 1.43 "LEGAL" 8 "NO" 0
284371 14574.69 25 7 25 5.58 10.63 20.24 "SUBNEW" 0.81 17 47210.66 5 "NO" "NO" "NO" 0.42 "GOVT" 17 "NO" 0
138974 5487.78 4 4 4 5.36 11.34 21.39 "SUBNEW" 0.94 4 15268.38 5 "NO" "YES" "NO" 1.04 "DOCTOR" 1 "NO" 0
487112 22366.27 5 5 24 1.56 13.71 22.42 "SUBNEW" 0.99 11 42617.5 8 "YES" "NO" "NO" 1.21 "BUS." 8 "NO" 0
53692 2543.53 15 5 15 4.79 12.67 23.63 "SUBNEW" 0.79 18 39812.23 5 "YES" "NO" "YES" 2.07 "DOCTOR" 1 "NO" 0
947746 42213.82 18 10 18 1.75 13.42 21.22 "SUBNEW" 0.7 17 33393.39 4 "NO" "NO" "NO" 1.29 "GOVT" 11 "NO" 0
55175 2430.7 12 10 42 1.18 13.4 21.54 "CITY" 0.94 24 22955.5 6 "NO" "YES" "NO" 0.55 "GOVT" 7 "YES" 0
494363 21826.94 27 5 27 5.08 12.6 24.27 "SUBNEW" 0.96 19 39813.71 5 "NO" "NO" "NO" 2.25 "GOVT" 8 "NO" 0
298017 12724.72 27 4 39 1.45 12.98 20.7 "CITY" 0.96 27 23287.42 6 "NO" "NO" "NO" 0.76 "LEGAL" 11 "NO" 0
1675374 63885.08 19 9 36 0.74 13.7 23.63 "CITY" 0.79 39 19658.93 10 "NO" "NO" "NO" 0.32 "GOVT" 1 "NO" 5
257115 10417.06 52 5 52 0.77 13.86 24.74 "CITY" 0.92 20 20468.89 8 "NO" "NO" "NO" 0.66 "LEGAL" 18 "YES" 3
462084 20849.55 25 6 25 2 13.38 21.1 "SUBNEW" 0.68 23 37324.2 7 "NO" "NO" "NO" 1.57 "BUS." 9 "NO" 0
722500 32028.62 6 3 6 3.01 12.18 16.66 "SUBNEW" 0.87 16 74796.86 7 "NO" "NO" "NO" 1.62 "BUS." 9 "NO" 0
109237 4541.42 6 7 38 0.95 13.54 22.35 "CITY" 0.99 10 8573.53 5 "NO" "NO" "NO" 0.27 "DOCTOR" 1 "NO" 2
68912 2954.74 15 7 15 0.56 13.86 24.04 "CITY" 0.88 64 39836.85 12 "YES" "NO" "YES" 0.22 "GOVT" 52 "NO" 0
105520 4386.29 18 4 52 0.46 13.97 24.48 "CITY" 0.97 10 26853.45 3 "NO" "NO" "NO" 0.32 "BUS." 8 "NO" 0
99151 4075.41 4 3 4 3.37 17.33 36.86 "SUBOLD" 0.89 12 27463.65 5 "YES" "NO" "YES" 0.63 "BUS." 3 "NO" 0
1090310 42112.78 31 8 71 0.25 14.29 25.39 "CITY" 0.78 11 32382.28 7 "NO" "NO" "NO" 0.57 "LEGAL" 10 "NO" 4
59247 2605.09 12 9 12 3.15 11.38 13.62 "SUBNEW" 0.83 12 10867.1 7 "YES" "NO" "YES" 0.72 "BUS." 12 "NO" 0
414801 15789.61 24 5 47 0.78 13.76 23.13 "CITY" 0.86 13 6257.85 4 "NO" "NO" "NO" 0.28 "BUS." 3 "NO" 0
104399 5014.8 8 5 8 1.87 15.16 28.2 "SUBOLD" 0.77 11 26189.49 3 "YES" "YES" "NO" 1.9 "LEGAL" 8 "NO" 0
273119 11053.77 47 8 47 1.22 13.2 21.37 "CITY" 0.94 15 17669.38 4 "NO" "NO" "NO" 0.53 "LEGAL" 12 "NO" 2
50801 2601 4 8 43 1.65 15.76 30.69 "SUBOLD" 0.65 10 37977.52 7 "NO" "NO" "NO" 1.25 "DOCTOR" 3 "NO" 1
1130406 45022.55 14 5 29 2.97 12.23 16.84 "SUBNEW" 0.87 20 44350.34 5 "NO" "NO" "NO" 1.63 "BUS." 9 "NO" 0
1137089 54316.16 36 8 49 1.5 15.71 30.59 "SUBOLD" 0.98 5 43019.29 4 "NO" "NO" "NO" 1.04 "LEGAL" 4 "NO" 4
430841 17839.58 5 4 43 0.93 13.49 22.48 "CITY" 0.97 34 26741.14 8 "NO" "NO" "NO" 0.24 "LEGAL" 31 "NO" 0
97351 4520.29 3 7 3 2.86 13.09 20.66 "SUBNEW" 0.97 18 52999.75 4 "NO" "YES" "NO" 1.27 "DOCTOR" 2 "NO" 0
98329 3675.81 9 4 9 1.15 13.43 23.38 "CITY" 0.92 65 30024.78 12 "NO" "NO" "NO" 0.78 "DOCTOR" 13 "NO" 0
462195 19746.24 10 9 10 2.91 12.46 17.88 "SUBNEW" 0.88 15 40068.12 5 "NO" "YES" "NO" 1.82 "DOCTOR" 1 "NO" 0
107759 4250.9 45 5 45 0.47 14 24.75 "CITY" 1 12 37856.24 5 "NO" "NO" "NO" 0.42 "BUS." 2 "NO" 0
278132 10748.21 40 9 40 0.47 14.87 27.98 "CITY" 0.83 25 31129.31 8 "NO" "NO" "NO" 0.67 "LEGAL" 20 "NO" 1
1592520 69684.39 5 3 5 3.54 17.86 39.12 "SUBOLD" 0.79 9 28112.57 3 "YES" "NO" "YES" 1.26 "LEGAL" 5 "NO" 0
711817 28278.44 20 9 60 0.39 14.29 25.24 "CITY" 0.91 19 44252.19 4 "NO" "NO" "NO" 0.6 "LEGAL" 14 "YES" 0
28661 1307.81 20 3 20 5 11.92 21.83 "SUBNEW" 0.66 12 40048.14 11 "NO" "NO" "NO" 1.53 "LEGAL" 5 "NO" 0
3266051 135196.61 42 3 42 1.38 13.43 21.4 "CITY" 0.93 42 28081.46 7 "NO" "NO" "NO" 0.85 "BUS." 33 "NO" 0
1210810 55885.48 8 3 8 3.02 11.4 15.31 "SUBNEW" 0.89 16 25580.99 12 "YES" "NO" "YES" 0.47 "BUS." 11 "NO" 0
3282019 101789.27 74 9 74 0.33 14.64 27.23 "CITY" 0.95 10 21785.83 4 "NO" "NO" "NO" 0.9 "GOVT" 1 "YES" 16
557673 20419.94 47 4 79 1.02 13.55 22.2 "CITY" 1 6 39808.18 3 "NO" "NO" "NO" 0.42 "LEGAL" 2 "NO" 2
479005 6555.39 1 10 49 0.6 13.87 23.75 "CITY" 0.78 13 17763.75 3 "YES" "YES" "YES" 0.17 "GOVT" 12 "YES" 1
321714 11987.52 21 6 60 0.77 13.78 24.28 "CITY" 0.99 22 23445.63 5 "NO" "NO" "NO" 0.55 "BUS." 3 "NO" 1
1147123 37225.56 17 5 44 0.25 14.54 26.34 "CITY" 0.98 25 38176.04 7 "NO" "NO" "NO" 0.81 "GOVT" 10 "YES" 5
357387 15921.22 8 7 8 5.72 10.41 20.32 "SUBNEW" 0.84 15 55512.01 6 "NO" "YES" "NO" 0.39 "LEGAL" 11 "NO" 0
613723 34012.36 19 10 19 3.24 11.57 13.93 "SUBNEW" 0.94 6 24396.32 4 "NO" "NO" "NO" 1.22 "BUS." 1 "NO" 0
30424 1233.78 8 5 65 1.03 15.38 30.24 "CITY" 0.94 10 12439.35 8 "YES" "NO" "YES" 0.23 "DOCTOR" 1 "YES" 0
771626 39529.45 14 7 14 2.13 15.25 28.61 "SUBOLD" 0.89 16 28215.13 8 "NO" "NO" "NO" 1.75 "LEGAL" 10 "NO" 0
387653 14842.4 10 7 42 0.46 13.98 24.59 "CITY" 0.98 38 27420.14 8 "NO" "NO" "NO" 0.36 "LEGAL" 38 "NO" 1
345661 13303.46 17 5 50 1.33 13.52 21.75 "CITY" 0.88 30 34360.94 7 "YES" "NO" "YES" 0.84 "LEGAL" 29 "NO" 1
296394 15857.97 6 9 49 5.68 18.99 44.01 "SUBOLD" 0.82 7 31470.1 2 "YES" "NO" "YES" 1.84 "LEGAL" 7 "NO" 0
25427 1063.14 2 3 29 4.6 11.41 18.42 "SUBNEW" 0.66 20 37459.5 8 "YES" "NO" "YES" 1.01 "DOCTOR" 7 "NO" 0
46425 2431.08 13 7 13 2.09 15 27.65 "SUBOLD" 0.89 11 14338.43 5 "NO" "YES" "NO" 1.56 "DOCTOR" 1 "NO" 0
286600 12489.36 27 10 27 2.62 12.38 17.12 "SUBNEW" 0.95 19 29772.43 5 "NO" "NO" "NO" 1.35 "BUS." 18 "NO" 0
1330580 53555.93 29 3 29 4.12 13.37 24.23 "SUBNEW" 0.88 17 36360.57 6 "NO" "NO" "NO" 1.17 "BUS." 4 "NO" 6
360521 14645.52 17 9 38 1.11 13.62 24.35 "CITY" 0.93 39 53801.28 9 "YES" "NO" "NO" 0.74 "LEGAL" 17 "YES" 2
2033517 77946.91 2 3 24 5.19 13.63 27.75 "SUBNEW" 0.87 15 27443.14 3 "NO" "YES" "NO" 2.03 "BUS." 13 "NO" 0
1840155 84494.08 26 10 26 3.19 11.91 15.65 "SUBNEW" 0.89 18 51667.03 6 "YES" "NO" "NO" 1.56 "BUS." 6 "NO" 0
622379 28314.13 35 8 35 2.27 15.85 30.96 "SUBOLD" 0.86 7 29769.05 2 "NO" "NO" "NO" 2.05 "LEGAL" 3 "NO" 1
861331 40180.26 1 4 1 5.42 13.04 26.64 "SUBNEW" 0.38 26 67297.03 11 "NO" "NO" "NO" 2.43 "BUS." 26 "NO" 0
285837 12765.48 64 6 75 1.16 13.4 21.6 "CITY" 0.95 10 28316.01 3 "NO" "NO" "NO" 0.51 "LEGAL" 10 "NO" 2
931107 34855.95 9 4 9 4.71 13.65 26.59 "SUBNEW" 0.91 17 40689.15 7 "YES" "YES" "NO" 1.56 "BUS." 9 "NO" 2
248352 10911.17 2 4 65 1.45 14.84 26.92 "CITY" 0.99 6 13526.19 2 "YES" "NO" "YES" 1.64 "DOCTOR" 6 "NO" 0
752372 30672.09 3 6 22 3.06 11.58 13.97 "SUBNEW" 0.77 17 32735.19 7 "NO" "YES" "NO" 0.86 "BUS." 8 "NO" 0
1489290 65309.32 0 3 23 5.88 19.93 47.28 "SUBOLD" 0.87 6 11154.47 4 "NO" "NO" "NO" 2.04 "LEGAL" 1 "NO" 0
